,articleID,authors,journal,number,pages,title,volume,year,citations,correspondingAuthor,keywords,reviewers,abstract,edition_year,conference,edition_id,edition_number,city,start_date,end_date,issn,volume_id
2,3,Frank Manola,GTE Laboratories Incorporated,,,An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.,TR-0263-08-94-165,1994,7|10|14,Frank Manola,data management|indexing|indexing|data management|data processing,Katharina Schäfer|Erik Laes|Krishna G. Kulkarni|Jakob Stenseke|Penelope Engel-Hills,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",,,,,,,,59943403,59943403-TR-0263-08-94-165
3,4,Michael L. Brodie|Michael Stonebraker,GTE Laboratories Incorporated,,,DARWIN: On the Incremental Migration of Legacy Information Systems,TR-0222-10-92-165,1993,3|6,Michael L. Brodie,data management|data querying|data modeling|data management|data storage|data storage,Angelina Patrick Olesen|Birgit Wesche|Patricia Osseweijer|Meisam Asadi|Ulrike Felt,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",,,,,,,,59943403,59943403-TR-0222-10-92-165
4,5,Farshad Nayeri|Joe D. Morrison|Mark F. Hornick,GTE Laboratories Incorporated,,,"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.",TR-0174-12-91-165,1991,,Mark F. Hornick,data storage|data management|data management,Carsten Damm|Ekkehard W. Sachs|Carsten Damm|Sarah M. Rovito|Katarina Valaskova,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",,,,,,,,59943403,59943403-TR-0174-12-91-165
5,6,Frank Manola,GTE Laboratories Incorporated,,,Object Model Capabilities For Distributed Object Management.,TM-0149-06-89-165,1989,9|10|7,Frank Manola,data modeling|data management|data modeling,Michael C. Loui|Dieter Baum|Anna Bernasconi 0001,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",,,,,,,,59943403,59943403-TM-0149-06-89-165
6,7,Frank Manola,GTE Laboratories Incorporated,,,Integrating Object-Oriented Applications and Middleware with Relational Databases.,TR-0310-11-95-165,1995,4|12,Frank Manola,indexing|data processing|data querying|data storage,Volker Schulz 0001|Reiner Hähnle|Carl Mitcham|Gad Perry|S. Rotin,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",,,,,,,,59943403,59943403-TR-0310-11-95-165
7,8,Alejandro P. Buchmann|Dimitrios Georgakopoulos|M. Tamer Özsu,GTE Laboratories Incorporated,,,Towards a Transaction Management System for DOM.,TR-0146-06-91-165,1991,9|10|4,Alejandro P. Buchmann,big data|data storage|data modeling|big data|data management|data querying,Heidi Jäger|M. Nast|Kai von Luck|Mike Kelley,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",,,,,,,,59943403,59943403-TR-0146-06-91-165
8,9,Frank Manola|Sandra Heiler,GTE Laboratories Incorporated,,,A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.,TR-0231-08-93-165,1993,3,Frank Manola,data processing|big data,Sven Ove Hansson|Michael Davis 0002|Jürgen Manowsky|Helmut Seidl,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",,,,,,,,59943403,59943403-TR-0231-08-93-165
9,10,Frank Manola,GTE Laboratories Incorporated,,,MetaObject Protocol Concepts for a RISC Object Model.,TR-0244-12-93-165,1993,11|14,Frank Manola,data processing|big data|data querying|data querying|data processing|big data,Qian Wang|Mirjam Sophia Glessmer|Christoph Meinel|Hubertus Th. Jongen,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",1993.0,ICML,ICML_25,25.0,San Francisco,13-11-1993,14-11-1993,59943403,59943403-TR-0244-12-93-165
10,11,Frank Manola,GTE Laboratories Incorporated,,,Object Data Language Facilities for Multimedia Data Types.,TR-0169-12-91-165,1991,9,Frank Manola,data storage|data management,Lothar Breuer|Christoph Meinel|Emilio Delgado López-Cózar|Anna Slobodová|Udo Pletat,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",,,,,,,,59943403,59943403-TR-0169-12-91-165
11,12,Alejandro P. Buchmann|Frank Manola|Mark F. Hornick,GTE Laboratories Incorporated,,,Object Data Model Facilities for Multimedia Data Types.,TM-0332-11-90-165,1990,5|8|10|11|13|14,Alejandro P. Buchmann,data modeling|data querying,Andrew Sixsmith|Martin Mundhenk|Evan Selinger|Rickey Y. Yada|Bernice Simone Elger,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla semper lacus sit amet nisl rhoncus tristique ac vel felis.",,,,,,,,59943403,59943403-TM-0332-11-90-165
