,reviewer,paper_id,decision,review
0,Frank Manola,191,Rejected,Lack of original contribution to the field.
1,Frank Manola,265,Rejected,Lack of original contribution to the field.
2,Frank Manola,29066,Rejected,Lack of original contribution to the field.
3,Frank Manola,414,Rejected,Lack of original contribution to the field.
4,Frank Manola,28986,Rejected,Lack of original contribution to the field.
5,Frank Manola,28863,Rejected,Lack of original contribution to the field.
6,Frank Manola,28798,Rejected,Lack of original contribution to the field.
7,Frank Manola,28958,Rejected,Lack of original contribution to the field.
8,Frank Manola,54,Rejected,Lack of original contribution to the field.
9,Frank Manola,29101,Rejected,Lack of original contribution to the field.
10,Frank Manola,168,Rejected,Lack of original contribution to the field.
11,Frank Manola,28712,Rejected,Lack of original contribution to the field.
12,Frank Manola,45,Rejected,Lack of original contribution to the field.
13,Frank Manola,509,Rejected,Lack of original contribution to the field.
14,Frank Manola,29055,Rejected,Lack of original contribution to the field.
15,Frank Manola,28952,Rejected,Lack of original contribution to the field.
16,Frank Manola,29038,Rejected,Lack of original contribution to the field.
17,Frank Manola,29078,Rejected,Lack of original contribution to the field.
18,Michael L. Brodie,65,Rejected,Limited relevance and significance.
19,Michael Stonebraker,28848,Rejected,Unconvincing or unsupported conclusions.
20,Michael Stonebraker,536,Rejected,Unconvincing or unsupported conclusions.
21,Michael Stonebraker,23,Rejected,Unconvincing or unsupported conclusions.
22,Michael Stonebraker,28826,Rejected,Unconvincing or unsupported conclusions.
23,Farshad Nayeri,78,Rejected,Insufficient research design and methodology.
24,Farshad Nayeri,411,Rejected,Insufficient research design and methodology.
25,Joe D. Morrison,43,Accepted,Compelling and well-supported conclusions.
26,Joe D. Morrison,28944,Accepted,Compelling and well-supported conclusions.
27,Joe D. Morrison,29079,Accepted,Compelling and well-supported conclusions.
28,Mark F. Hornick,259,Rejected,Weak argument and analysis.
29,Mark F. Hornick,29063,Rejected,Weak argument and analysis.
30,Alejandro P. Buchmann,28710,Accepted,Well-structured and coherent argument.
31,Alejandro P. Buchmann,346,Accepted,Well-structured and coherent argument.
32,Alejandro P. Buchmann,573,Accepted,Well-structured and coherent argument.
33,Alejandro P. Buchmann,101,Accepted,Well-structured and coherent argument.
34,Alejandro P. Buchmann,243,Accepted,Well-structured and coherent argument.
35,Dimitrios Georgakopoulos,28989,Rejected,Not a good fit for the journal's scope.
36,Dimitrios Georgakopoulos,239,Rejected,Not a good fit for the journal's scope.
37,Sandra Heiler,575,Accepted,Innovative and thought-provoking.
38,Jim Melton,28758,Accepted,Significant and impactful findings.
39,Jim Melton,29023,Accepted,Significant and impactful findings.
40,Jim Melton,28918,Accepted,Significant and impactful findings.
41,Jim Melton,42,Accepted,Significant and impactful findings.
42,Jonathan Bauer,544,Rejected,Not a good fit for the journal's scope.
43,Jonathan Bauer,57,Rejected,Not a good fit for the journal's scope.
44,Jonathan Bauer,411,Rejected,Not a good fit for the journal's scope.
45,Jonathan Bauer,28765,Rejected,Not a good fit for the journal's scope.
46,Jonathan Bauer,112,Rejected,Not a good fit for the journal's scope.
47,Krishna G. Kulkarni,3,Accepted,Original and insightful research.
48,Krishna G. Kulkarni,525,Accepted,Original and insightful research.
49,Krishna G. Kulkarni,28777,Accepted,Original and insightful research.
50,Krishna G. Kulkarni,28907,Accepted,Original and insightful research.
