,ID,Title,Author,AuthorID,Venue,VenueID,VenueType,ConferenceType,Area,Published,PublishedIn,PaperType
0,4b817798ae93460b927ad91a2f268027,"""'Once more unto the Breach': Professional Responsibility and Computer Ethics"" - A Response to: ""A Critique of Positive Responsibility in Computing"".",Douglas Walton,2f8bc8d0da6543bebad91a01bf4b9603,ACM Symposium on User Interface Software and Technology,UIST,Conference,RegularConference,ArtificialIntelligence,False,,FullPaper
1,8e5572c3954b4af4a007efc6f1f49de6,"""An Ethics of Commitment for Engineers"".",Petra Steffens,ca68767de329494380b3e340f6d12060,Journal of the Association for Information Science and Technology,JASIST,Journal,,MachineLearning,False,,FullPaper
2,520adc97848d463d9a62e3887c9e36de,"""Broader Impacts"" or ""Responsible Research and Innovation""? A Comparison of Two Criteria for Funding Research in Science and Engineering.",Lothar Breuer,8d3758f8613c47b6911c755601c10ca0,Journal of the American Statistical Association,JASA,Journal,,ArtificialIntelligence,False,,DemoPaper
3,c32ef10d6ee240518de615e75c8f74a0,"""Der Film öded das Publikum"" - Zum Aufbau eines maschinenlesbaren Wörterbuchs für deutsche Verben",Knut Jørgen Vie,3a44c271c0a44bc2b2acfa8fd83df557,International Journal of Computer Vision,IJCV,Journal,,NaturalLanguageProcessing,True,IJCV-Volume-10,DemoPaper
4,38a7cfbf99c440b6869f063af9f01a54,"""Dictionary Dialog"" - Entwurf des Funktionsumfangs für eine Benutzerschnittstelle eines integrierten maschinellen/maschinenunterstützten Übersetzungssystems und prototypische Erstellung der Bildschirmfolge für die Funktion ""Semantische Relation""",Don Gotterbarn,7af510c5c64e4221ba3f69376d18ebee,Association for Computational Linguistics,ACL,Conference,Workshop,NaturalLanguageProcessing,True,ACL-Proceeding-1,FullPaper
5,66de4e898b584eae8049d7fbf2e4c552,"""Ethics When You Least Expect It"": A Modular Approach to Short Course Data Ethics Instruction.",Petra Scheffler,d6f238a1ea3e4abe90f5d4bd60c6ebb3,ACM Transactions on Intelligent Systems and Technology,ACM-TIST,Journal,,ArtificialIntelligence,True,ACM-TIST-Volume-3,ShortPaper
6,4446570c303b41f2ba4a272e8d46d542,10 Jahre ECCC - Eine Digitale Bibliothek in weltweiter Benutzung,Ulrich Hedtstück,d5746e399a1d4268b6b78b2d1668e9b3,Association for the Advancement of Artificial Intelligence,AAAI,Conference,RegularConference,MachineLearning,True,AAAI-Proceeding-1,FullPaper
7,68f309f466f941f0b86e32e7fa835b8d,A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.,Milenko Rakic,66552d874973460eb9a438be91519473,ACM Symposium on User Interface Software and Technology,UIST,Conference,RegularConference,ArtificialIntelligence,False,,ShortPaper
8,201dc76fd144409a93933e48c841e979,A Branch and Bound Approach for Solving a Class of Generalized Semi-Infinite Programming Problems,Patrick L. Taylor,4f8efd3474d64a20bc375671de676518,Journal of the Association for Information Science and Technology,JASIST,Journal,,MachineLearning,False,,FullPaper
9,bf391cf738ef4cc2b07b2c4d636374e7,A Branch-and-Bound Decomposition Approach for Solving Quasiconvex-Concave Programs,Jovan Shopovski,e588ed90cb264ddda2cac91b778d9a36,ACM Transactions on Intelligent Systems and Technology,ACM-TIST,Journal,,ArtificialIntelligence,True,ACM-TIST-Volume-4,FullPaper
10,df1c4dc133f24ff19e2778d3e469b599,A Brief Overlook of LILOG-DB,Julio R. Tuma,c6c05744f7e0495db8ed11a0fa2e9fe2,International Conference on Machine Learning,ICML,Conference,Workshop,Databases,False,,FullPaper
11,f13aad0f349f43e0a0d1754685f70e3e,A Broader Discussion of Authorship.,Meisam Asadi,7e6ed1aa7030439f89c5017281c1e0a0,Association for the Advancement of Artificial Intelligence,AAAI,Conference,RegularConference,MachineLearning,False,,FullPaper
12,5170b58430b1425f9efc88063cd63d2e,A Buddhist Perspective on Industrial Engineering and the Design of Work.,Vance W. Berger,a8594506173a431aa6d770f5827acac5,Journal of the Association for Information Science and Technology,JASIST,Journal,,MachineLearning,True,JASIST-Volume-8,ShortPaper
13,15350e94d0474b2dbbbacc038f793f2e,A Calculus for Order-Sorted Predicate Logic with Sort Literals,Jochen Dörre,ecd9d561cb83497cb2cc051fa3f694e7,Journal of the American Statistical Association,JASA,Journal,,ArtificialIntelligence,True,JASA-Volume-7,FullPaper
14,de17a56a766c4140bf9c1ff8780d0fd9,A Case Study of Teaching Social Responsibility to Doctoral Students in the Climate Sciences.,Christoph Meinel,a3c0635d64b04e5793433c24008abf83,ACM Transactions on Intelligent Systems and Technology,ACM-TIST,Journal,,ArtificialIntelligence,True,ACM-TIST-Volume-2,ShortPaper
15,8a4e903ec8fa473db2f68d571faf76b3,A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds,Christian Gamborg,3ac075e7e1f2461fbbdae785b8d5e193,IEEE/CVF Conference on Computer Vision and Pattern Recognition,CVPR,Conference,RegularConference,MachineLearning,True,CVPR-Proceeding-4,FullPaper
16,0b79b98df02846e19d28af722ccf7d56,A Comparison of Numerical Methods for Optimal Shape Design Problems,Phil Shaw,ff3ebbd44b454146adcef46a831b2d90,Journal of Machine Learning Research,JMLR,Journal,,ArtificialIntelligence,True,JMLR-Volume-9,FullPaper
17,25aead439f2946108747ca5199b0864a,A Conceptual Model for Time,Arno Wagner,a429c640fa29464cbdb79334b8633376,Special Interest Group on Data Communications Conference,SIGCOMM,Conference,RegularConference,Databases,False,,ShortPaper
